Condition,Voltage,Current,Temperature
1,25.666912748577367,443.1776787138455,39.04298008669625
1,24.93619269601364,443.7752058654272,36.615609013862766
1,26.431378686661073,440.70519661137064,59.53153475566279
1,25.75551597941211,444.45465600218176,42.75831261815376
1,25.97123695471139,442.8046424128778,37.656217888183676
1,25.88350340890212,444.5814752212545,39.4083109258523
0,26.945354374871958,442.3878725340347,45.120200601609525
1,26.490910090226947,444.48997253019155,40.08125414679967
1,25.279176510841378,442.39306662956557,38.47134221045628
1,26.083107828134683,441.3197317953561,52.22772264719654
0,25.395406344290137,440.00886021266234,50.94538694417631
1,25.90377682274069,446.9124029138341,42.276740423086366
1,26.737053659794107,444.24532812840545,55.56254055270158
1,25.400214129074232,442.33474108223504,57.80378003391884
1,24.82586041448909,442.39697611929347,37.066040374049564
1,26.334569055116948,440.65350789831774,48.92160004695663
1,26.371943078492656,442.6055124195529,57.43187201376953
1,25.84672215186737,441.6259865111468,49.25301005899628
1,25.64812114777723,443.993403463506,58.15067693922718
1,26.692570531314946,444.57186081531086,36.16340996467203
1,22.344000700906022,444.1610825833817,53.039158432999834
1,26.49110789651436,440.6061720843208,52.30919921242082
1,25.284013118393744,441.59421435188983,50.210664294345484
1,26.989340873307256,440.2215198935678,35.887160952101205
1,26.299273073181606,442.0915194542419,59.5751904443515
1,27.064035362024782,437.42404165096525,59.221318429304574
1,25.306224549375273,444.0709649553045,41.2444609855586
0,27.136491444628003,438.1764097498145,56.82997053179901
1,26.7508594842478,441.63032251534406,56.567549343223405
1,25.646731534329806,440.5277623945098,53.79937461928452
0,25.530212880032607,441.403910077642,57.60269002279567
1,26.034732194902805,441.93735073013573,53.62856399063886
1,25.545454138801578,441.86101506369783,54.642753890351315
1,25.36991438958977,443.3007579686583,57.61103562714034
1,25.3583814515447,444.1816741320018,52.306021624570334
1,27.083281601615877,444.3082640275924,40.41087621411175
1,27.16448270915994,440.5868669778277,53.737819911479995
0,24.82463686780295,440.6951980377059,40.87185750629019
1,26.208352266487886,442.87112691192823,53.793086584908934
1,26.264234165483884,442.8914802370314,35.641127760617884
0,25.75273197086344,439.7504554960109,50.232153518755666
1,26.814787541037994,442.7841631535904,44.078536261222666
1,28.51545549384108,445.9105589900615,45.35430770109795
0,25.719836278345372,442.5870267410611,43.84218431547398
1,25.432820391506613,442.190756947638,48.1908501648697
1,25.40577738041412,440.735074959428,59.18479047838784
1,25.180263088942834,438.9739864593338,57.936709426974616
1,27.114461450647426,443.75632787975906,45.42530628451399
0,25.588096138514835,440.0546175463181,45.99839959251589
1,26.610438024473368,443.7157802421902,57.31950146163098
1,25.36753519142178,443.31582508245924,40.74116081502362
0,25.10954466244759,442.6752015507193,38.405092541438414
1,26.21777618256645,441.5195836568205,45.48764214744223
1,27.570058415375776,442.08718430195296,52.03646344251902
